hour,httpCode,count
14,206,1
3,206,2
15,206,16
6,206,3
18,206,3
19,206,16
1,206,4
10,403,1
11,403,1
12,301,29
19,301,6
18,301,5
13,301,20
23,301,7
11,301,2
2,301,2
17,301,2
22,301,3
7,301,5
15,301,4
21,301,5
0,301,12
14,301,34
4,301,4
5,301,7
16,301,4
10,301,4
20,301,4
3,301,4
8,301,1
15,500,1
14,500,1
3,500,1
12,304,8
0,304,10
7,304,9
20,304,3
22,304,37
23,304,8
11,304,4
17,304,28
15,304,4
13,304,40
6,304,20
21,304,9
8,304,69
10,304,9
3,304,3
19,304,7
5,304,7
14,304,7
2,304,6
18,304,16
1,304,33
4,304,11
9,304,89
16,304,8
23,404,4
8,404,2
11,404,10
4,404,9
1,404,10
7,404,7
13,404,12
14,404,10
19,404,10
21,404,8
18,404,9
22,404,8
15,404,5
20,404,4
2,404,10
17,404,12
6,404,12
12,404,7
10,404,11
3,404,6
0,404,6
16,404,8
5,404,15
9,404,18
12,200,417
19,200,454
20,200,475
14,200,445
10,200,418
0,200,333
21,200,431
15,200,466
22,200,298
7,200,336
1,200,313
3,200,338
18,200,445
13,200,403
11,200,442
23,200,337
9,200,257
5,200,342
8,200,273
6,200,329
2,200,347
4,200,331
16,200,453
17,200,442
6,416,2
